Report Number,Supplemental Number,Accident Date/Time,Operator ID,Pipeline Location,Pipeline Type,Liquid Type,Accident State,Cause Category,Cause Subcategory,Net Loss (Barrels),Shutdown Date/Time,All Costs
20140050,19389,1/13/2014 10:15 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,5.0,,47741
20140050,19389,1/13/2014 10:15 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,5.0,,47741
20140037,20110,1/14/2014 11:00 PM,31684,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,,2643
20140056,19025,1/15/2014 8:30 AM,31476,ONSHORE,ABOVEGROUND,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,15.0,1/15/2014 8:30,14000
20140039,18982,1/15/2014 3:05 PM,14194,ONSHORE,UNDERGROUND,CRUDE OIL,TX,ALL OTHER CAUSES,MISCELLANEOUS,0.0,1/15/2014 15:05,49800
20140033,18973,1/16/2014 1:00 AM,26065,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,,50
20140046,20852,1/17/2014 8:00 AM,26065,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,,200
20140049,19008,1/17/2014 9:30 AM,26041,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,1560
20140057,19476,1/17/2014 10:48 AM,32551,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,ALL OTHER CAUSES,MISCELLANEOUS,0.0,1/17/2014 10:53,30550
20140055,19848,1/17/2014 11:00 AM,30829,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,1/17/2014 11:00,66500
20140053,20456,1/18/2014 10:31 AM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,MN,INCORRECT OPERATION,INCORRECT INSTALLATION,0.0,,13228
20140035,19247,1/20/2014 9:00 AM,32109,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.5,,30400
20140058,19028,1/20/2014 2:23 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,1/20/2014 14:23,1750
20140040,18983,1/21/2014 11:19 AM,31684,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.36,,170
20140060,19707,1/22/2014 4:40 PM,18718,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,CORROSION,EXTERNAL,133.0,1/22/2014 16:40,378368
20140062,19316,1/24/2014 12:50 PM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,1/24/2014 12:50,14060
20140052,20510,1/24/2014 3:00 PM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.0,1/24/2014 15:00,6500
20140047,19001,1/25/2014 11:00 AM,26065,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,,50
20140063,19315,1/26/2014 11:00 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,,7235
20140065,19596,1/27/2014 7:00 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,10300
20140061,19420,1/27/2014 9:50 AM,2371,ONSHORE,ABOVEGROUND,CRUDE OIL,NM,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.5,,1550
20140070,19066,1/28/2014 9:15 AM,22430,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,1/28/2014 9:15,19026
20140067,19339,1/28/2014 11:45 AM,2552,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,3.31,,153385
20140066,19149,1/29/2014 7:25 AM,2731,ONSHORE,ABOVEGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,30015
20140071,19539,1/30/2014 1:56 PM,31888,ONSHORE,UNDERGROUND,CRUDE OIL,TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,25.0,,110000
20140064,19049,2/1/2014 12:45 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,25719
20140073,19622,2/2/2014 7:30 PM,32109,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",WY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1.0,2/2/2014 19:30,98668
20140075,19080,2/3/2014 1:15 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.0,,2275
20140076,19081,2/4/2014 3:30 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,10103
20140068,19057,2/5/2014 7:00 AM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.1,,29320
20140059,19038,2/5/2014 5:00 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,2/5/2014 17:00,3080
20140072,19587,2/6/2014 6:20 PM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,IN,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,2/6/2014 18:25,101500
20140079,19484,2/7/2014 7:35 AM,31618,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0.0,2/7/2014 7:40,205386
20140083,19170,2/7/2014 12:45 PM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.0,,2815
20140081,21506,2/9/2014 5:25 AM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MI,NATURAL FORCE DAMAGE,TEMPERATURE,0.97,,22435
20140080,19435,2/10/2014 11:00 AM,31174,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,2/10/2014 11:00,661000
20140084,19107,2/12/2014 7:15 AM,32109,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OK,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,321.5,2/12/2014 8:25,15220
20140094,19528,2/12/2014 10:15 AM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,30200
20140086,20256,2/12/2014 2:00 PM,4805,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,765
20140090,19657,2/12/2014 2:05 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OH,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0.0,2/12/2014 14:05,200357
20140093,19128,2/13/2014 1:26 PM,32296,ONSHORE,UNDERGROUND,CRUDE OIL,ND,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0.0,2/13/2014 14:33,885000
20140096,19588,2/13/2014 2:10 PM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,WI,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,2500
20140092,20412,2/14/2014 7:36 AM,12628,ONSHORE,ABOVEGROUND,CRUDE OIL,IL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,,5025
20140095,19669,2/14/2014 9:00 AM,300,ONSHORE,TANK,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,32257
20140089,19525,2/14/2014 1:30 PM,31618,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,6336
20140078,20097,2/15/2014 10:00 AM,22610,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,214140
20140100,19694,2/16/2014 7:00 AM,31684,ONSHORE,ABOVEGROUND,BIOFUEL / ALTERNATIVE FUEL(INCLUDING ETHANOL BLENDS),TX,INCORRECT OPERATION,INCORRECT EQUIPMENT,0.0,,1000
20140099,20049,2/17/2014 7:30 AM,12470,ONSHORE,ABOVEGROUND,CRUDE OIL,OH,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,2/17/2014 7:30,5136
20140085,19108,2/17/2014 9:15 AM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",IA,NATURAL FORCE DAMAGE,TEMPERATURE,2.5,,10150
20140069,19193,2/17/2014 10:50 AM,2339,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HI,CORROSION,EXTERNAL,0.0,2/17/2014 12:45,42333
20140102,19663,2/18/2014 12:00 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.48,2/18/2014 12:00,7000
20140087,20241,2/18/2014 6:20 PM,32147,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0.0,2/18/2014 18:20,19024
20140103,19419,2/19/2014 6:18 AM,31574,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.5,2/19/2014 6:30,15908
20140104,19566,2/19/2014 10:20 AM,31570,ONSHORE,UNDERGROUND,CRUDE OIL,ND,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0.0,2/19/2014 10:25,72700
20140110,20615,2/19/2014 6:13 PM,999,ONSHORE,UNDERGROUND,CRUDE OIL,CA,CORROSION,INTERNAL,3.0,2/19/2014 18:30,232500
20140106,19542,2/20/2014 11:00 AM,32551,ONSHORE,TANK,CRUDE OIL,OK,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,32617
20140109,19530,2/20/2014 2:30 PM,12470,ONSHORE,ABOVEGROUND,CRUDE OIL,MI,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,,1720
20140088,19117,2/21/2014 2:20 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,2/21/2014 3:47,2830
20140111,19521,2/21/2014 8:00 AM,300,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,33976
20140108,19151,2/21/2014 9:40 AM,12624,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.54,2/21/2014 10:45,32500
20140105,19807,2/21/2014 10:30 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,5.0,,41885
20140112,19478,2/24/2014 6:43 AM,32551,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,EXTERNAL,5.0,2/24/2014 10:03,15000
20140101,19529,2/24/2014 7:00 AM,39080,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,ALL OTHER CAUSES,MISCELLANEOUS,5.0,,20500
20140113,20480,2/24/2014 9:30 AM,12470,ONSHORE,TANK,CRUDE OIL,KY,CORROSION,INTERNAL,0.0,,48200
20140115,19610,2/24/2014 5:04 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,10.0,,206471
20140107,21128,2/25/2014 10:30 AM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,IN,CORROSION,INTERNAL,0.0,2/25/2014 10:44,942824
20140114,19477,2/26/2014 2:10 PM,32551,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,EXTERNAL,0.0,,29000
20140118,19806,2/27/2014 9:22 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,2/27/2014 9:44,56650
20140091,19121,2/28/2014 2:30 PM,31684,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.4,2/28/2014 14:38,215
20140117,19590,3/2/2014 8:45 AM,31174,ONSHORE,ABOVEGROUND,CRUDE OIL,CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,3/2/2014 8:45,117000
20140120,19653,3/2/2014 10:54 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.2,,3460
20140124,19732,3/2/2014 1:00 PM,31270,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",AL,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.0,,1090
20140116,19181,3/2/2014 1:15 PM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.6,,1550
20140123,19197,3/3/2014 7:30 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.0,,15050
20140128,19219,3/4/2014 9:30 AM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,3/4/2014 9:30,4276
20140119,19189,3/4/2014 10:00 AM,32283,ONSHORE,ABOVEGROUND,CRUDE OIL,MT,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,,6272
20140127,19841,3/4/2014 10:20 AM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OH,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.42,,243357
20140077,19570,3/4/2014 10:30 PM,31455,ONSHORE,ABOVEGROUND,CRUDE OIL,MT,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.0,,1200
20140131,20174,3/6/2014 11:45 AM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,NM,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,3/6/2014 11:55,44800
20140130,19609,3/6/2014 3:24 PM,31174,ONSHORE,UNDERGROUND,CRUDE OIL,TX,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0.0,3/6/2014 15:26,2770000
20140129,21407,3/6/2014 5:30 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,,791
20140133,20351,3/6/2014 7:42 PM,15774,ONSHORE,ABOVEGROUND,CRUDE OIL,ND,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,3/6/2014 19:42,41300
20140135,19228,3/7/2014 3:45 PM,32011,ONSHORE,TANK,CRUDE OIL,WY,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.0,3/7/2014 15:45,0
20140132,19711,3/9/2014 12:00 PM,31580,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.07,3/9/2014 12:05,1500
20140125,20498,3/10/2014 9:35 AM,31684,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,,165750
20140138,19240,3/11/2014 7:00 AM,99031,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,3/11/2014 8:00,40000
20140134,19226,3/11/2014 7:25 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,3/11/2014 7:27,13200
20140136,19235,3/11/2014 11:30 AM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,48297
20140142,19840,3/13/2014 11:15 AM,31570,ONSHORE,TANK,CRUDE OIL,ND,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,30000
20140140,20598,3/14/2014 12:30 AM,1845,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,8.38,,1987841
20140271,20599,3/14/2014 12:30 AM,1845,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0.0,,2007118
20140137,19554,3/14/2014 1:13 PM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.27,,2950
20140141,19244,3/15/2014 9:09 AM,12105,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,3/15/2014 9:09,122175
20140098,19163,3/15/2014 6:30 PM,31045,ONSHORE,ABOVEGROUND,CRUDE OIL,MS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,3/15/2014 18:30,2855
20140122,19276,3/16/2014 2:00 PM,26065,ONSHORE,TANK,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,,500
20140139,20081,3/16/2014 2:20 PM,22830,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MI,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,9.0,3/16/2014 16:10,81786
20140121,20132,3/16/2014 5:20 PM,31684,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,EXTERNAL,0.0,3/16/2014 17:20,4950
20140126,19378,3/17/2014 5:00 PM,31684,ONSHORE,UNDERGROUND,CRUDE OIL,CA,CORROSION,INTERNAL,0.0,,400900
20140152,20129,3/17/2014 8:19 PM,12470,ONSHORE,UNDERGROUND,CRUDE OIL,OH,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,8.0,3/17/2014 22:34,7174939
20140147,19259,3/18/2014 2:00 PM,15674,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,,6528
20140150,19658,3/18/2014 3:50 PM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,3400
20140149,19828,3/19/2014 11:23 AM,32450,ONSHORE,ABOVEGROUND,CRUDE OIL,NM,ALL OTHER CAUSES,MISCELLANEOUS,1.5,,2400
20140153,19466,3/19/2014 1:15 PM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.03,,2556
20140156,19284,3/19/2014 4:40 PM,32632,ONSHORE,TANK,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.5,,4868
20140144,20544,3/20/2014 5:00 AM,32619,ONSHORE,ABOVEGROUND,CRUDE OIL,ND,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,100.0,3/20/2014 5:00,1446356
20140151,19991,3/21/2014 3:15 PM,15774,ONSHORE,UNDERGROUND,CRUDE OIL,ND,CORROSION,INTERNAL,0.0,3/21/2014 15:20,1379751
20140148,20128,3/21/2014 4:11 PM,32099,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,3992.0,3/21/2014 16:23,204164
20140155,21155,3/21/2014 10:25 PM,15674,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GA,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,24.8,,521000
20140146,19472,3/21/2014 10:30 PM,22855,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,3/21/2014 22:38,8650
20140154,19635,3/22/2014 7:07 PM,12470,ONSHORE,TANK,CRUDE OIL,TN,CORROSION,INTERNAL,0.0,3/22/2014 19:07,25000
20140163,19479,3/24/2014 3:15 AM,32551,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,60.0,,116350
20140158,19305,3/25/2014 1:22 PM,15674,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MS,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,,18140
20140165,19878,3/26/2014 5:18 AM,11169,ONSHORE,ABOVEGROUND,CRUDE OIL,WI,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,65800
20140162,19311,3/26/2014 11:39 AM,31618,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",CO,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.08,,52503
20140160,19724,3/27/2014 9:15 AM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,,2000
20140164,19443,3/28/2014 12:00 PM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,INCORRECT OPERATION,INCORRECT INSTALLATION,0.1,,1493
20140166,19322,3/28/2014 6:00 PM,32678,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,45679
20140167,21090,3/29/2014 2:50 PM,22430,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,14787
20140168,19966,3/30/2014 1:45 PM,30829,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,68000
20140143,19526,3/31/2014 5:00 AM,31618,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,3/31/2014 5:15,25045
20140161,19527,3/31/2014 1:00 PM,31618,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,4/1/2014 14:10,395330
20140145,19251,4/1/2014 7:30 AM,31684,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,6600
20140170,20308,4/1/2014 8:20 AM,12105,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,31.42,,100026
